GO,Interpro,n,n_go,n_ip,s
GO:0000314,IPR019349,7,57,7,0.21875
GO:0000328,IPR008442,3,17,8,0.24
GO:0000333,IPR000477,11,11,34,0.4888888888888889
GO:0000333,IPR021891,11,11,11,1.0
GO:0000338,IPR000555,25,64,131,0.2564102564102564
GO:0000338,IPR037518,25,64,183,0.20242914979757085
GO:0000338,IPR040961,16,64,17,0.3950617283950617
GO:0000339,IPR003890,14,62,72,0.208955223880597
GO:0000339,IPR009828,9,62,14,0.23684210526315788
GO:0000339,IPR015172,13,62,14,0.34210526315789475
GO:0000339,IPR015174,13,62,14,0.34210526315789475
GO:0000339,IPR034104,8,62,8,0.22857142857142856
GO:0000339,IPR034148,19,62,19,0.4691358024691358
GO:0000340,IPR009828,9,28,14,0.42857142857142855
GO:0000340,IPR034148,8,28,19,0.3404255319148936
GO:0000346,IPR041686,10,55,16,0.28169014084507044
GO:0000347,IPR021418,5,19,6,0.4
GO:0000347,IPR021726,5,19,6,0.4
GO:0000347,IPR032302,5,19,6,0.4
GO:0000349,IPR013915,8,15,8,0.6956521739130435
GO:0000350,IPR004098,4,12,4,0.5
GO:0000350,IPR014906,3,12,7,0.3157894736842105
GO:0000373,IPR001890,10,29,14,0.46511627906976744
GO:0000375,IPR000504,324,1028,1003,0.3190546528803545
GO:0000377,IPR000504,324,1012,1003,0.3215880893300248
GO:0000379,IPR006677,22,32,22,0.8148148148148148
GO:0000379,IPR006678,12,32,12,0.5454545454545454
GO:0000379,IPR018593,4,32,6,0.21052631578947367
GO:0000379,IPR024336,6,32,6,0.3157894736842105
GO:0000381,IPR000504,188,271,1003,0.29513343799058084
GO:0000386,IPR004098,4,34,4,0.21052631578947367
GO:0000386,IPR012591,7,34,7,0.34146341463414637
GO:0000386,IPR012592,7,34,7,0.34146341463414637
GO:0000386,IPR012984,7,34,7,0.34146341463414637
GO:0000386,IPR019580,7,34,7,0.34146341463414637
GO:0000386,IPR019581,7,34,7,0.34146341463414637
GO:0000386,IPR019582,7,34,7,0.34146341463414637
GO:0000386,IPR021715,18,34,20,0.6666666666666666
GO:0000386,IPR021983,7,34,7,0.34146341463414637
GO:0000387,IPR001163,42,117,127,0.3442622950819672
GO:0000387,IPR032297,14,117,20,0.20437956204379562
GO:0000388,IPR004179,9,10,30,0.45
GO:0000388,IPR041094,9,10,9,0.9473684210526315
GO:0000389,IPR021715,3,9,20,0.20689655172413793
